date,time,CO2_level,smoke_density,co_level,gas_level
2023-11-01,08:00:00,450,20,10,50
2023-11-01,12:00:00,650,30,15,80
2023-11-01,18:00:00,850,40,20,100
2023-11-01,22:00:00,950,50,25,150
2023-11-02,08:00:00,500,25,15,60
2023-11-02,12:00:00,750,60,30,200
2023-11-02,18:00:00,1050,90,45,220
2023-11-02,22:00:00,1200,110,55,240
2023-11-03,08:00:00,600,30,20,100
2023-11-03,12:00:00,900,105,50,180
2023-11-03,18:00:00,1100,120,65,270
2023-11-03,22:00:00,1300,150,70,300
2023-11-04,08:00:00,400,15,10,40
2023-11-04,12:00:00,550,40,25,120
2023-11-04,18:00:00,950,110,55,260
2023-11-04,22:00:00,1050,130,70,350
2023-11-05,08:00:00,500,30,15,80
2023-11-05,12:00:00,800,70,40,150
2023-11-05,18:00:00,1000,100,60,250
2023-11-05,22:00:00,1200,140,75,320
